"anio","region","cod_prov","provincia","cod_cant_d","canton","valor_agregado","impuestos","pib","exportaciones","importaciones","cod_cant"
2020,"Pacífico Central","6","Puntarenas",604,"Montes de Oro",52759.8508644644,4202.53473338492,56962.3855978493,162.312133012299,472.302537306891,"04"
2020,"Brunca","6","Puntarenas",605,"Osa",151531.883226671,6684.70260686253,158216.585833534,2238.73155756584,296.816868041626,"05"
2020,"Pacífico Central","6","Puntarenas",606,"Quepos",161148.93517426,11165.7964361403,172314.731610401,15021.1839955871,5518.78775595959,"06"
2020,"Brunca","6","Puntarenas",607,"Golfito",148277.666733003,9762.46891336238,158040.135646365,0,16967.511767545,"07"
2020,"Brunca","6","Puntarenas",608,"Coto Brus",122150.438090531,5178.15449519796,127328.592585729,480.287101986178,750.620072252442,"08"
2020,"Pacífico Central","6","Puntarenas",609,"Parrita",73597.9329943543,3198.4445517242,76796.3775460785,14068.2395859576,940.48362514967,"09"
2020,"Brunca","6","Puntarenas",610,"Corredores",138712.176407706,4269.16519747273,142981.341605178,113340.107643313,6840.54712259666,"10"
2020,"Pacífico Central","6","Puntarenas",611,"Garabito",124897.4180344,11380.2828387806,136277.700873181,30.455926545514,4186.0414643742,"11"
2020,"Huetar Caribe","7","Limón",701,"Limón",452044.985388572,23944.0957478775,475989.081136449,132070.549982526,614006.086411728,"01"
2020,"Huetar Caribe","7","Limón",702,"Pococí",586093.063718906,42987.1371836573,629080.200902563,392876.200747587,121436.448477742,"02"
2020,"Huetar Caribe","7","Limón",703,"Siquirres",353977.653492867,19986.0370703385,373963.690563206,71085.9457463619,63765.1952415121,"03"
2020,"Huetar Caribe","7","Limón",704,"Talamanca",111974.180654984,5429.21254527432,117403.393200258,3598.92161852891,89.7894690489268,"04"
2020,"Huetar Caribe","7","Limón",705,"Matina",203423.126790895,7474.83433768214,210897.961128577,26269.6892245097,7531.42161676238,"05"
2020,"Huetar Caribe","7","Limón",706,"Guácimo",169235.233759681,7371.63604724635,176606.869806927,57618.7093358141,22673.3167560163,"06"
2021,"Central","1","San José",101,"San José",6321547.1690267,630900.199181998,6952447.3682087,1145351.95176405,3939310.24857576,"01"
2021,"Central","1","San José",102,"Escazú",1469968.39694213,108991.565812336,1578959.96275447,22613.2017302733,76985.5937498447,"02"
2021,"Central","1","San José",103,"Desamparados",793760.300344965,64681.3228477243,858441.62319269,45069.7498121646,296365.074375876,"03"
2021,"Central","1","San José",104,"Puriscal",105710.662442617,18505.5908536367,124216.253296254,1208.47527428501,6118.30885686782,"04"
2021,"Central","1","San José",105,"Tarrazú",86501.0459327823,4439.53966901841,90940.5856018008,27623.1521116928,1731.17493336172,"05"
2021,"Central","1","San José",106,"Aserrí",133038.630834711,8254.67422928127,141293.305063993,6441.28125448918,10069.6220459401,"06"
2021,"Central","1","San José",107,"Mora",191831.204013864,9913.52998570776,201744.733999572,8924.09714708625,8655.82471484092,"07"
2021,"Central","1","San José",108,"Goicoechea",836950.221698714,95527.588521916,932477.81022063,5388.32634007737,110782.880626956,"08"
2021,"Central","1","San José",109,"Santa Ana",1895856.75919044,79601.0529770068,1975457.81216745,2451.35743385412,48538.1283540075,"09"
2021,"Central","1","San José",110,"Alajuelita",180922.620903152,14864.0668517064,195786.687754858,947.291647717053,22294.1867036715,"10"
2021,"Central","1","San José",111,"Vázquez de Coronado",295476.571765941,21389.910676553,316866.482442494,1305.64140503923,25818.6891404275,"11"
2021,"Central","1","San José",112,"Acosta",66120.6126700248,4847.50818631051,70968.1208563354,17622.479079617,8009.28344272689,"12"
2021,"Central","1","San José",113,"Tibás",471274.525644495,46714.4160673449,517988.94171184,21095.4371008061,44021.1198621907,"13"
2021,"Central","1","San José",114,"Moravia",382306.8253492,35701.0384630396,418007.86381224,24738.5760283795,53067.153779408,"14"
2021,"Central","1","San José",115,"Montes de Oca",1040409.28157228,40875.0149312852,1081284.29650356,6001.19935105897,25353.1042982061,"15"
2021,"Central","1","San José",116,"Turrubares",17559.502973047,549.786099339984,18109.289072387,2.69931202696322,0,"16"
2021,"Central","1","San José",117,"Dota",32846.727200565,1460.67952207141,34307.4067226364,1465.04445397104,48.3965433929133,"17"
2021,"Central","1","San José",118,"Curridabat",805308.139185301,56923.8153496646,862231.954534965,11475.9799905762,58077.8331357409,"18"
2021,"Brunca","1","San José",119,"Pérez Zeledón",583712.875059058,38057.553078747,621770.428137805,12050.099017859,7545.93925545382,"19"
2021,"Central","1","San José",120,"León Cortés Castro",66909.9370422602,4118.86671110832,71028.8037533685,0.403828705950953,461.427120215732,"20"
2021,"Central","2","Alajuela",201,"Alajuela",3691955.66264239,376877.561877199,4068833.22451959,3504415.10426926,2485137.72379193,"01"
2021,"Central","2","Alajuela",202,"San Ramón",354244.78176291,24571.0549278302,378815.83669074,25930.5722433513,33437.1361159104,"02"
2021,"Central","2","Alajuela",203,"Grecia",406153.048160839,53069.8284144701,459222.876575309,124195.954633189,85972.4302908457,"03"
2021,"Pacífico Central","2","Alajuela",204,"San Mateo",17829.4434845069,851.256366855605,18680.6998513626,205.825584033728,128.477356944141,"04"
2021,"Central","2","Alajuela",205,"Atenas",111715.053942062,7868.95167323967,119584.005615301,1936.10041186718,3841.18368174423,"05"
2021,"Central","2","Alajuela",206,"Naranjo",160494.161678475,18039.6246178599,178533.786296335,5690.37449088431,20461.7885964518,"06"
2021,"Central","2","Alajuela",207,"Palmares",169205.631546526,15208.2209361905,184413.852482716,14573.2938461988,46620.2225453599,"07"
2021,"Central","2","Alajuela",208,"Poás",138921.717066932,9615.33103410536,148537.048101037,3714.7088794224,7349.24965921833,"08"
2021,"Pacífico Central","2","Alajuela",209,"Orotina",88891.4960077818,6904.97357421971,95796.4695820015,1194.27450283509,513.87378314675,"09"
2021,"Huetar Norte","2","Alajuela",210,"San Carlos",1099104.61660767,75119.7919421102,1174224.40854978,282559.340124895,65056.5866136987,"10"
2021,"Central","2","Alajuela",211,"Zarcero",92765.1486519123,4403.14340661429,97168.2920585266,1359.6689828652,2106.00789999995,"11"
2021,"Central","2","Alajuela",212,"Sarchí",91945.5556448236,5776.4222290369,97721.9778738605,14704.3972429823,3931.0269604094,"12"
2021,"Huetar Norte","2","Alajuela",213,"Upala",166654.387802082,7060.05487769999,173714.442679782,30150.9112926455,284.214362589474,"13"
2021,"Huetar Norte","2","Alajuela",214,"Los Chiles",113298.759960755,2920.27248029921,116219.032441054,15084.8966191946,39.4949568948318,"14"
2021,"Huetar Norte","2","Alajuela",215,"Guatuso",53286.0843537397,2044.22468036176,55330.3090341014,427.525180530549,1551.93268096286,"15"
2021,"Huetar Norte","2","Alajuela",216,"Río Cuarto",53305.7101989302,1395.79179354003,54701.5019924702,7425.9660545415,7183.64392882911,"16"
2021,"Central","3","Cartago",301,"Cartago",1424239.06807344,206834.652188166,1631073.7202616,955063.071167662,634392.370590145,"01"
2021,"Central","3","Cartago",302,"Paraíso",249702.284614838,17324.196137983,267026.480752821,37426.714826323,12091.0572859421,"02"
2021,"Central","3","Cartago",303,"La Unión",540323.309622918,69008.5174510706,609331.827073989,56997.9312119918,80157.9741539356,"03"
2021,"Central","3","Cartago",304,"Jiménez",92238.1222561293,5784.37922513204,98022.5014812613,1848.52982008335,1229.53432866499,"04"
2021,"Central","3","Cartago",305,"Turrialba",304306.615477074,22322.2130900981,326628.828567172,18783.1606919124,6796.28807459177,"05"
2021,"Central","3","Cartago",306,"Alvarado",79824.2295855518,4631.13735276326,84455.3669383151,45.2990174153955,1641.81181454365,"06"
2021,"Central","3","Cartago",307,"Oreamuno",118593.937439986,7215.35683793359,125809.294277919,16604.6136619982,10068.4463517152,"07"
